method,stage,frequency_um_inv,period_um,frc,threshold_1_7,threshold_half_bit,n_ring_pixels,hr_pitch_um,pixel_size_um
maptv_new_vs_drz,before,0.04720982142857143,21.182033096926716,0.6607150010008671,0.14285714285714285,0.1955651236363731,3576,10.0,20.0
maptv_new_vs_drz,before,0.04732142857142857,21.132075471698116,0.6647877194952929,0.14285714285714285,0.19534294368347277,3644,10.0,20.0
maptv_new_vs_drz,before,0.04743303571428571,21.08235294117647,0.6795570405431852,0.14285714285714285,0.19537522888070752,3634,10.0,20.0
maptv_new_vs_drz,before,0.047544642857142855,21.03286384976526,0.7126246568563235,0.14285714285714285,0.19549912822785603,3596,10.0,20.0
maptv_new_vs_drz,before,0.04765625,20.98360655737705,0.7010837165327977,0.14285714285714285,0.19527876700452393,3664,10.0,20.0
maptv_new_vs_drz,before,0.04776785714285714,20.93457943925234,0.7170959967622089,0.14285714285714285,0.19536229896004664,3638,10.0,20.0
maptv_new_vs_drz,before,0.04787946428571428,20.88578088578089,0.7082787111793319,0.14285714285714285,0.1952532420597071,3672,10.0,20.0
maptv_new_vs_drz,before,0.047991071428571425,20.837209302325583,0.7027920741567704,0.14285714285714285,0.19534294368347277,3644,10.0,20.0
maptv_new_vs_drz,before,0.04810267857142857,20.788863109048727,0.7191521979461186,0.14285714285714285,0.1950209946989822,3746,10.0,20.0
maptv_new_vs_drz,before,0.04821428571428571,20.740740740740744,0.7413575190408132,0.14285714285714285,0.19530437499553316,3656,10.0,20.0
maptv_new_vs_drz,before,0.04832589285714286,20.69284064665127,0.7361501762828258,0.14285714285714285,0.19526599417946083,3668,10.0,20.0
maptv_new_vs_drz,before,0.0484375,20.64516129032258,0.7491357153613273,0.14285714285714285,0.19493488938335007,3774,10.0,20.0
maptv_new_vs_drz,before,0.048549107142857144,20.597701149425287,0.7478103946919992,0.14285714285714285,0.19539466351065476,3628,10.0,20.0
maptv_new_vs_drz,before,0.048660714285714286,20.55045871559633,0.6789535393307509,0.14285714285714285,0.19489827749225433,3786,10.0,20.0
maptv_new_vs_drz,before,0.04877232142857143,20.503432494279178,0.6975347637688726,0.14285714285714285,0.19506440733704855,3732,10.0,20.0
maptv_new_vs_drz,before,0.04888392857142857,20.45662100456621,0.6662629660055398,0.14285714285714285,0.19518979008893414,3692,10.0,20.0
maptv_new_vs_drz,before,0.048995535714285714,20.41002277904328,0.5987299287015189,0.14285714285714285,0.19491046224945754,3782,10.0,20.0
maptv_new_vs_drz,before,0.049107142857142856,20.363636363636363,0.541046155399825,0.14285714285714285,0.19500246310468877,3752,10.0,20.0
maptv_new_vs_drz,before,0.04921875,20.317460317460316,0.5412208547717158,0.14285714285714285,0.19499013318559666,3756,10.0,20.0
maptv_new_vs_drz,before,0.04933035714285714,20.271493212669682,0.5364463544995429,0.14285714285714285,0.1948739653457362,3794,10.0,20.0
maptv_new_vs_drz,before,0.049441964285714284,20.225733634311513,0.4257434023175665,0.14285714285714285,0.19488003622703962,3792,10.0,20.0
maptv_new_vs_drz,before,0.049553571428571426,20.18018018018018,0.37917005651264757,0.14285714285714285,0.19489219229404334,3788,10.0,20.0
maptv_new_vs_drz,before,0.04966517857142857,20.134831460674157,0.32981112727293727,0.14285714285714285,0.1950209946989822,3746,10.0,20.0
maptv_new_vs_drz,before,0.04977678571428571,20.08968609865471,0.2892062513510995,0.14285714285714285,0.19475951592150462,3832,10.0,20.0
maptv_new_vs_drz,before,0.04988839285714285,20.04474272930649,0.28900884547140243,0.14285714285714285,0.19485578123579675,3800,10.0,20.0
maptv_new_vs_drz,before,0.049999999999999996,20.0,0.9997107962772651,0.14285714285714285,0.8417399583909729,2,10.0,20.0
maptv_new_vs_drz,after,0.0,inf,0.7133510758443324,0.14285714285714285,0.7560610050770457,3,10.0,20.0
maptv_new_vs_drz,after,0.00011160714285714285,8960.0,0.9480147892093839,0.14285714285714285,0.5160568456025979,12,10.0,20.0
maptv_new_vs_drz,after,0.0002232142857142857,4480.0,0.8674171428324667,0.14285714285714285,0.43846389609946435,22,10.0,20.0
maptv_new_vs_drz,after,0.0003348214285714286,2986.6666666666665,0.9666301432628976,0.14285714285714285,0.41192739958594665,28,10.0,20.0
maptv_new_vs_drz,after,0.0004464285714285714,2240.0,0.9750268917640866,0.14285714285714285,0.37684928940895107,40,10.0,20.0
maptv_new_vs_drz,after,0.0005580357142857143,1792.0,0.9894058190759509,0.14285714285714285,0.3572655453148874,50,10.0,20.0
maptv_new_vs_drz,after,0.0006696428571428571,1493.3333333333333,0.9937697329930544,0.14285714285714285,0.3607189084162777,48,10.0,20.0
